Published_Date,List_Name,Rank,Title,Author,Publisher,Weeks_On_List,ISBN13,Amazon_URL
2025-06-01,Combined Print & E-Book Fiction,3,The Emperor of Gladness,Ocean Vuong,Penguin Press,1,9780593831878,https://www.amazon.com/dp/059383187X?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,4,Great Big Beautiful Life,Emily Henry,Berkley,4,9780593441299,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,5,Can't Get Enough,Kennedy Ryan,Forever,1,9781538706855,https://www.amazon.com/dp/1538706857?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,6,One Golden Summer,Carley Fortune,Berkley,2,9780593638910,https://www.amazon.com/dp/0593638913?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,7,The Devils,Joe Abercrombie,Tor,1,9781250880055,https://www.amazon.com/dp/125088005X?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,8,Fever Beach,Carl Hiaasen,Knopf,1,9780593320952,https://www.amazon.com/dp/B0DCHF8QKC?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,9,Remarkably Bright Creatures,Shelby Van Pelt,Ecco,6,9780063204164,https://www.amazon.com/dp/0063204150?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,10,Shield of Sparrows,Devney Perry,Red Tower,2,9781649378514,https://www.amazon.com/dp/1649378513?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,11,My Friends,Fredrik Backman,Atria,2,9781982112820,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,12,Onyx Storm,Rebecca Yarros,Red Tower,17,9781649376947,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,13,Marble Hall Murders,Anthony Horowitz,Harper,1,9780063305717,https://www.amazon.com/dp/B0DCZMWWMP?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,14,Fourth Wing,Rebecca Yarros,Red Tower,95,9781649377371,https://www.amazon.com/dp/1649374046?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Fiction,15,I Hope You Remember,Josie Balka,Simon Element,1,9781668077108,https://www.amazon.com/dp/1668077108?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,1,Mark Twain,Ron Chernow,Penguin Press,1,9780525561729,https://www.amazon.com/dp/0525561722?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,2,The Anxious Generation,Jonathan Haidt,Penguin Press,60,9780593655030,https://www.amazon.com/dp/0593655036?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,3,Big Dumb Eyes,Nate Bargatze,Grand Central,2,9781538768464,https://www.amazon.com/dp/1538768461?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,4,Lawless,Leah Litman,Atria/One Signal,1,9781668054628,https://www.amazon.com/dp/1668054620?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,5,The Body Keeps the Score,Bessel van der Kolk,Penguin,243,9780143127741,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,6,Class Clown,Dave Barry,Simon & Schuster,1,9781668021781,https://www.amazon.com/dp/1668021781?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,7,Abundance,Ezra Klein and Derek Thompson,Avid Reader,9,9781668023488,https://www.amazon.com/dp/1668023482?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,8,My Next Breath,Jeremy Renner,Flatiron,3,9781250383532,https://www.amazon.com/dp/1250383536?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,9,Matriarch,Tina Knowles with Kevin Carr O'Leary,One World,4,9780593597408,https://www.amazon.com/dp/0593597400?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,10,Everything Is Tuberculosis,John Green,Crash Course,9,9780525556572,https://www.amazon.com/dp/0525426051?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,11,"Diet, Drugs, and Dopamine",David A. Kessler,Flatiron,1,9781250381279,https://www.amazon.com/dp/1250381274?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,12,The Fate of the Day,Rick Atkinson,Crown,3,9780593799185,https://www.amazon.com/dp/0593799186?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,13,On Tyranny,Timothy Snyder,Crown,51,9780804190114,https://www.amazon.com/Tyranny-Twenty-Lessons-Twentieth-Century/dp/0804190119?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,14,When the Stones Speak,Doron Spielman,Center Street,1,9781546009252,https://www.amazon.com/dp/1546009256?tag=thenewyorktim-20
2025-06-01,Combined Print & E-Book Nonfiction,15,Zbig,Edward Luce,Avid Reader,1,9781982173647,https://www.amazon.com/dp/1982173645?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,1,Restart,Gordon Korman,Scholastic,0,9781338053807,https://www.amazon.com/Restart-Gordon-Korman/dp/1338053809?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,2,Olivetti,Allie Millington,Square Fish,0,9781250326928,https://www.amazon.com/dp/1250326923?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,3,A Long Walk to Water,Linda Sue Park,Houghton Mifflin Harcourt,0,9780547577319,http://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,4,Wish,Barbara O'Connor,Square Fish,0,9781250144058,https://www.amazon.com/Wish-Barbara-OConnor/dp/1250144051?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,5,A Minecraft Movie: The Junior Novelization,adapted by David Lewman,Random House,0,9780593903452,https://www.amazon.com/dp/0593903455?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,6,Iceberg,Jennifer A. Nielsen,Scholastic,0,9781338795042,https://www.amazon.com/dp/1338795023?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,7,The Dragon's Apprentice,James Riley,Labyrinth Road,0,9780593813188,https://www.amazon.com/dp/0593813189?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,8,The Eyes and the Impossible,Dave Eggers,Yearling,0,9781524764234,https://www.amazon.com/dp/1524764205?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,9,The Sun and the Star,Rick Riordan and Mark Oshiro,Disney Hyperion,0,9781368113175,https://www.amazon.com/dp/1368081150?tag=thenewyorktim-20
2025-06-01,Middle Grade Paperback,10,Alone,Megan E. Freeman,Aladdin,0,9781534467576,https://www.amazon.com/dp/1534467572?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,1,If He Had Been with Me,Laura Nowlin,Sourcebooks Fire,0,9781728205489,http://www.amazon.com/If-He-Had-Been-Me-ebook/dp/B00APIVOIE?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,2,Better Than the Movies,Lynn Painter,Simon & Schuster,0,9781534467637,https://www.amazon.com/dp/1534467637?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,3,If Only I Had Told Her,Laura Nowlin,Sourcebooks Fire,0,9781728276229,https://www.amazon.com/dp/1728276225?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,4,My Return to the Walter Boys,Ali Novak,Sourcebooks Fire,0,9781464230226,https://www.amazon.com/dp/1464230226?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,5,The Revenant Games,Margie Fuston,Margaret K. McElderry,0,9781665990295,https://www.amazon.com/dp/1665934425?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,6,Girl in Pieces,Kathleen Glasgow,Ember,0,9781101934746,http://www.amazon.com/Girl-Pieces-Kathleen-Glasgow/dp/1101934719?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,7,Murtagh,Christopher Paolini,Knopf,0,9780593650899,https://www.amazon.com/dp/0593650867?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,8,Betting on You,Lynn Painter,Simon & Schuster,0,9781665921244,https://www.amazon.com/dp/1665921234?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,9,The Party,Natasha Preston,Delacorte,0,9780593704080,https://www.amazon.com/dp/0593704088?tag=thenewyorktim-20
2025-06-01,Young Adult Paperback,10,While We're Young,K. L. Walther,Delacorte Romance,0,9780593813959,https://www.amazon.com/dp/0593813952?tag=thenewyorktim-20
2025-06-01,Mass Market,1,Resurrection,Danielle Steel,Dell,0,9780593498484,https://www.amazon.com/dp/0593498461?tag=thenewyorktim-20
2025-06-01,Mass Market,2,Identity,Nora Roberts,St. Martin's,0,9781250371027,https://www.amazon.com/dp/1250284112?tag=thenewyorktim-20
2025-06-01,Mass Market,3,The Murder Inn,James Patterson and Candice Fox,"Little, Brown",0,9781538710968,https://www.amazon.com/dp/1538710943?tag=thenewyorktim-20
2025-06-01,Mass Market,4,"Dead Broke, Colorado",William W. Johnstone and J.A. Johnstone,Pinnacle,0,9780786051489,https://www.amazon.com/dp/0786051485?tag=thenewyorktim-20
2025-06-01,Mass Market,5,Hard Men to Kill,William W. Johnstone and J.A. Johnstone,Pinnacle,0,9780786051618,https://www.amazon.com/dp/0786051612?tag=thenewyorktim-20
2025-06-01,Mass Market,6,The Whole Truth,David Baldacci,Grand Central,0,9781538771686,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=thenewyorktim-20
2025-06-01,Mass Market,7,Secrets Beneath the Snow,Teresa Summers,Love Inspired Suspense,0,9781335980526,https://www.amazon.com/dp/1335980520?tag=thenewyorktim-20
2025-06-01,Mass Market,8,An Amish Widow's New Love,Vannetta Chapman,Love Inspired,0,9781335937124,https://www.amazon.com/dp/1335937129?tag=thenewyorktim-20
2025-06-01,Mass Market,9,Chasing a Kidnapper,Laura Scott,Love Inspired Suspense,0,9781335980496,https://www.amazon.com/dp/1335980490?tag=thenewyorktim-20
2025-06-01,Mass Market,10,Let Me Be the One,Lori Foster,Canary Street,0,9781335009418,https://www.amazon.com/dp/1335009418?tag=thenewyorktim-20
2025-06-01,Mass Market,11,Resurrection Walk,Michael Connelly,"Little, Brown",0,9781538767146,https://www.amazon.com/dp/0316563765?tag=thenewyorktim-20
2025-06-01,Mass Market,12,Toxic Prey,John Sandford,Putnam,0,9780593714522,https://www.amazon.com/dp/0593714520?tag=thenewyorktim-20
2025-06-01,Mass Market,13,Their Impossible Amish Match,Jocelyn McClay,Love Inspired,0,9781335937131,https://www.amazon.com/dp/1335937137?tag=thenewyorktim-20
2025-06-01,Mass Market,14,An Unexpected Love,Debbie Macomber,MIRA,0,9780778368571,https://www.amazon.com/dp/0778368572?tag=thenewyorktim-20
2025-06-01,Mass Market,15,Amish Country Killer,Mary Alford,Love Inspired Suspense,0,9781335980502,https://www.amazon.com/dp/1335980504?tag=thenewyorktim-20
2025-06-01,Audio Fiction,1,Great Big Beautiful Life,Emily Henry,Penguin Audio,0,9798217063987,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20
2025-06-01,Audio Fiction,2,Say You'll Remember Me,Abby Jimenez,Hachette Audio,0,9781668644997,https://www.amazon.com/dp/1538759195?tag=thenewyorktim-20
2025-06-01,Audio Fiction,3,Broken Country,Clare Leslie Hall,Simon & Schuster Audio,0,9781668129487,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20
2025-06-01,Audio Fiction,4,Onyx Storm,Rebecca Yarros,Recorded Books,0,9781705085110,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20
2025-06-01,Audio Fiction,5,The Wedding People,Alison Espach,Macmillan Audio,0,9781250349705,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20
2025-06-01,Audio Fiction,6,The Perfect Divorce,Jeneva Rose,Blackstone,0,9798212912716,https://www.amazon.com/dp/B0DGY5F5JX?tag=thenewyorktim-20
2025-06-01,Audio Fiction,7,Fourth Wing,Rebecca Yarros,Recorded Books,0,9781705085059,https://www.amazon.com/dp/1649374046?tag=thenewyorktim-20
2025-06-01,Audio Fiction,8,Quicksilver,Callie Hart,Podium Audio,0,9781039491922,https://www.amazon.com/dp/1538774194?tag=thenewyorktim-20
2025-06-01,Audio Fiction,9,Iron Flame,Rebecca Yarros,Recorded Books,0,9781705085080,https://www.amazon.com/dp/1649374178?tag=thenewyorktim-20
2025-06-01,Audio Fiction,10,Dungeon Crawler Carl,Matt Dinniman,Audible Studios,0,DBKACX0234484,https://www.amazon.com/dp/059382024X?tag=thenewyorktim-20
2025-06-01,Audio Fiction,11,Lights Out,Navessa Allen,Zando,0,9781666672138,https://www.amazon.com/dp/1638932239?tag=thenewyorktim-20
2025-06-01,Audio Fiction,12,Project Hail Mary,Andy Weir,Audible Studios,0,9781603935470,https://www.amazon.com/dp/0593135202?tag=thenewyorktim-20
2025-06-01,Audio Fiction,13,Midnight Black,Mark Greaney,Audible Studios,0,DBKADBL059878,https://www.amazon.com/dp/0593548183?tag=thenewyorktim-20
2025-06-01,Audio Fiction,14,A Court of Wings and Ruin,Sarah J. Maas,Recorded Books,0,9781501952616,https://www.amazon.com/dp/1635575605?tag=thenewyorktim-20
2025-06-01,Audio Fiction,15,A Court of Mist and Fury,Sarah J. Maas,Recorded Books,0,9781501919121,https://www.amazon.com/dp/1635575583?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,1,Abundance,Ezra Klein and Derek Thompson,Simon & Schuster Audio,0,9781797168609,https://www.amazon.com/dp/1668023482?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,2,The Anxious Generation,Jonathan Haidt,Penguin Audio,0,9780593829097,https://www.amazon.com/dp/0593655036?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,3,Fight,Jonathan Allen and Amie Parnes,HarperAudio,0,9780063438682,https://www.amazon.com/dp/006343864X?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,4,Code Name: Pale Horse,Scott Payne with Michelle Shephard,Simon & Schuster Audio,0,9781797179339,https://www.amazon.com/dp/1797179357?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,5,Careless People,Sarah Wynn-Williams,Macmillan Audio,0,9781250403155,https://www.amazon.com/dp/1250391237?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,6,Everything Is Tuberculosis,John Green,Listening Library,0,9798217082391,https://www.amazon.com/dp/0525426051?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,7,Matriarch,Tina Knowles with Kevin Carr O'Leary,Random House Audio,0,9798217020799,https://www.amazon.com/dp/0593597400?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,8,On Democracies and Death Cults,Douglas Murray,HarperAudio,0,9780063437166,https://www.amazon.com/dp/0063437139?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,9,The Body Keeps the Score,Bessel van der Kolk,Penguin Audio,0,9780593412701,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,10,My Next Breath,Jeremy Renner,Macmillan Audio,0,9781250395757,https://www.amazon.com/dp/1250383536?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,11,The Tell,Amy Griffin,Random House Audio,0,9798217020331,https://www.amazon.com/dp/0593731204?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,12,Greenlights,Matthew McConaughey,Random House Audio,0,9780593294185,https://www.amazon.com/dp/0593139135?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,13,Trump: The Art of the Deal,Donald J. Trump with Tony Schwartz,Random House Audio,0,9781524723149,https://www.amazon.com/dp/0399594493?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,14,Who Is Government?,Michael Lewis,Penguin Audio,0,9798217082902,https://www.amazon.com/dp/B0DHZ2ZXPM?tag=thenewyorktim-20
2025-06-01,Audio Nonfiction,15,Fahrenheit-182,Mark Hoppus with Dan Ozzi,HarperAudio,0,9780063318946,https://www.amazon.com/dp/0063318911?tag=thenewyorktim-20
2025-06-01,Business,1,The Let Them Theory,Mel Robbins,Hay House,0,9781401971366,https://www.amazon.com/dp/1401971369?tag=thenewyorktim-20
2025-06-01,Business,2,Atomic Habits,James Clear,Avery,0,9780735211292,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299?tag=thenewyorktim-20
2025-06-01,Business,3,Abundance,Ezra Klein and Derek Thompson,Avid Reader,0,9781668023488,https://www.amazon.com/dp/1668023482?tag=thenewyorktim-20
2025-06-01,Business,4,I Wish Someone Had Told Me ...,Dana Perino,Fox News,0,9780063411470,https://www.amazon.com/dp/0063411474?tag=thenewyorktim-20
2025-06-01,Business,5,The Next Day,Melinda French Gates,Flatiron,0,9781250378651,https://www.amazon.com/dp/1250378656?tag=thenewyorktim-20
2025-06-01,Business,6,The Next Conversation,Jefferson Fisher,Tarcher,0,9780593718728,https://www.amazon.com/dp/0593718720?tag=thenewyorktim-20
2025-06-01,Business,7,Careless People,Sarah Wynn-Williams,Flatiron,0,9781250391230,https://www.amazon.com/dp/1250391237?tag=thenewyorktim-20
2025-06-01,Business,8,Matriarch,Tina Knowles with Kevin Carr O'Leary,One World,0,9780593597408,https://www.amazon.com/dp/0593597400?tag=thenewyorktim-20
2025-06-01,Business,9,Who Is Government?,Michael Lewis,Riverhead,0,9798217047802,https://www.amazon.com/dp/B0DHZ2ZXPM?tag=thenewyorktim-20
2025-06-01,Business,10,Build a Business You Love,Dave Ramsey,Ramsey,0,9798887820422,https://www.amazon.com/dp/B0D8BQWJVK?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,1,Big Jim Begins,Dav Pilkey,Scholastic,0,9781338896459,https://www.amazon.com/dp/1338896458?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,2,The Scarlet Shedder,Dav Pilkey,Scholastic,0,9781338896435,https://www.amazon.com/dp/1338896431?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,3,Warriors: The Prophecies Begin #2,Erin Hunter,HarperAlley,0,9780063203907,https://www.amazon.com/dp/006320391X?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,4,The Cartoonists Club,Raina Telgemeier and Scott McCloud,Scholastic,0,9781338777215,https://www.amazon.com/dp/1338777211?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,5,Mallory and the Trouble with Twins,Ann M. Martin,Scholastic,0,9781338835618,https://www.amazon.com/dp/1338835610?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,6,Twenty Thousand Fleas Under the Sea,Dav Pilkey,Scholastic,0,9781338801910,https://www.amazon.com/dp/1338801910?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,7,Mothering Heights,Dav Pilkey,Scholastic,0,9781338680454,https://www.amazon.com/dp/1338680455?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,8,Escaping Peril,Tui T. Sutherland,Scholastic,0,9781339001234,https://www.amazon.com/dp/1339001233?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,9,Dog Man,Dav Pilkey,Scholastic,0,9781338741032,https://www.amazon.com/dp/1338741039?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,10,Karen's Prize,Ann M. Martin,Scholastic,0,9781339005072,https://www.amazon.com/dp/1546110070?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,11,For Whom the Ball Rolls,Dav Pilkey,Scholastic,0,9781338236590,https://www.amazon.com/dp/1338236598?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,12,Warriors: The Prophecies Begin,Erin Hunter,HarperAlley,0,9780063203877,https://www.amazon.com/dp/0063203871?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,13,Grime and Punishment,Dav Pilkey,Scholastic,0,9781338535624,https://www.amazon.com/dp/1338535625?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,14,Dog Man Unleashed,Dav Pilkey,Scholastic,0,9781338741049,https://www.amazon.com/Dog-Man-Unleashed-Creator-Underpants/dp/0545935202?tag=thenewyorktim-20
2025-06-01,Graphic Books and Manga,15,Invincible Compendium Two,Robert Kirkman with various illustrators,Image Comics,0,9781607067726,https://www.amazon.com/dp/1607067722?tag=thenewyorktim-20
